Data;Fechamento
25/09/2023;12,65
26/09/2023;12,65
27/09/2023;12,65
28/09/2023;12,65
29/09/2023;12,65
02/10/2023;12,65
03/10/2023;12,65
04/10/2023;12,65
05/10/2023;12,65
06/10/2023;12,65
09/10/2023;12,65
10/10/2023;12,65
11/10/2023;12,65
12/10/2023;-
13/10/2023;12,65
16/10/2023;12,65
17/10/2023;12,65
18/10/2023;12,65
19/10/2023;12,65
20/10/2023;12,65
23/10/2023;12,65
24/10/2023;12,65
25/10/2023;12,65
26/10/2023;12,65
27/10/2023;12,65
30/10/2023;12,65
31/10/2023;12,65
01/11/2023;12,65
02/11/2023;-
03/11/2023;12,15
06/11/2023;12,15
07/11/2023;12,15
08/11/2023;12,15
09/11/2023;12,15
10/11/2023;12,15
13/11/2023;12,15
14/11/2023;12,15
15/11/2023;-
16/11/2023;12,15
17/11/2023;12,15
20/11/2023;12,15
21/11/2023;12,15
22/11/2023;12,15
23/11/2023;12,15
24/11/2023;12,15
27/11/2023;12,15
28/11/2023;12,15
29/11/2023;12,15
30/11/2023;12,15
01/12/2023;12,15
04/12/2023;12,15
05/12/2023;12,15
06/12/2023;12,15
07/12/2023;12,15
08/12/2023;12,15
